,0,1,2,3,4,5,6,7,8,9
1265,Schindler's List (1993),City Lights (1931),Rear Window (1954),Casablanca (1942),"Shawshank Redemption, The (1994)",Double Indemnity (1944),One Flew Over the Cuckoo's Nest (1975),"Christmas Story, A (1983)","Wizard of Oz, The (1939)",American Beauty (1999)
1266,Schindler's List (1993),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),City Lights (1931),Blade Runner (1982),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Casablanca (1942),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975)
1267,Lawrence of Arabia (1962),"Godfather, The (1972)",Blade Runner (1982),American Beauty (1999),Fargo (1996),Chinatown (1974),"General, The (1927)",Being John Malkovich (1999),Cool Hand Luke (1967),"Christmas Story, A (1983)"
1268,Schindler's List (1993),American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),"Maltese Falcon, The (1941)",Saving Private Ryan (1998),Toy Story 2 (1999),Election (1999),Elizabeth (1998),"Sixth Sense, The (1999)"
1269,"Boat, The (Das Boot) (1981)",Almost Famous (2000),Wonder Boys (2000),"Verdict, The (1982)",Jesus' Son (1999),"Girl on the Bridge, The (La Fille sur le Pont) (1999)",What Ever Happened to Baby Jane? (1962),Hamlet (2000),Wonderland (1999),"Contender, The (2000)"
1270,"War Room, The (1993)",Take the Money and Run (1969),Everest (1998),Saving Private Ryan (1998),Remember the Titans (2000),Philadelphia (1993),"Silence of the Lambs, The (1991)",Little Big Man (1970),Apollo 13 (1995),Braveheart (1995)
1271,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Shawshank Redemption, The (1994)",Blade Runner (1982),"Close Shave, A (1995)","Wrong Trousers, The (1993)",American Beauty (1999),Fargo (1996),"Great Escape, The (1963)"
1272,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",Casablanca (1942),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Schindler's List (1993),"Third Man, The (1949)",Citizen Kane (1941)
1273,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",City Lights (1931),Lawrence of Arabia (1962),Casablanca (1942),Double Indemnity (1944),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)"
1274,Schindler's List (1993),Saving Private Ryan (1998),"Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977),Lawrence of Arabia (1962),Glory (1989),Casablanca (1942),"Bridge on the River Kwai, The (1957)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),North by Northwest (1959)
1275,Roman Holiday (1953),Some Like It Hot (1959),"Wrong Trousers, The (1993)","Christmas Story, A (1983)",Little Big Man (1970),"Godfather, The (1972)",Rosencrantz and Guildenstern Are Dead (1990),Arsenic and Old Lace (1944),Being John Malkovich (1999),Being There (1979)
1276,"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Graffiti (1973),Independence Day (ID4) (1996),American Beauty (1999),Misery (1990),"Nightmare on Elm Street, A (1984)",Scream (1996),Halloween (1978),Ghostbusters (1984)
1277,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Braveheart (1995),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)","Christmas Story, A (1983)","Usual Suspects, The (1995)",Forrest Gump (1994)
1278,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Casablanca (1942),Rear Window (1954),City Lights (1931),Lawrence of Arabia (1962),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Fargo (1996),Blade Runner (1982)
1279,Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),"Matrix, The (1999)","Green Mile, The (1999)",American Beauty (1999),Gladiator (2000),Toy Story (1995),Fight Club (1999)
1280,Fargo (1996),American Beauty (1999),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Fight Club (1999),North by Northwest (1959),"Big Sleep, The (1946)","Boat, The (Das Boot) (1981)",Three Colors: Red (1994),Amadeus (1984)
1281,Braveheart (1995),Life Is Beautiful (La Vita è bella) (1997),Casablanca (1942),American Beauty (1999),Stand by Me (1986),Keeping the Faith (2000),Back to the Future (1985),"Breakfast Club, The (1985)",Titanic (1997),"Naked Gun: From the Files of Police Squad!, The (1988)"
1282,"Silence of the Lambs, The (1991)",Braveheart (1995),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),Toy Story 2 (1999),"Wizard of Oz, The (1939)",Toy Story (1995),"Sound of Music, The (1965)",Shakespeare in Love (1998)
1283,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),"Silence of the Lambs, The (1991)",Rear Window (1954),"Matrix, The (1999)",Braveheart (1995),"39 Steps, The (1935)"
1284,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Lawrence of Arabia (1962),Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),City Lights (1931),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Casablanca (1942),Rear Window (1954),Blade Runner (1982)
1285,American Beauty (1999),Yojimbo (1961),Being John Malkovich (1999),Election (1999),Boys Don't Cry (1999),Butch Cassidy and the Sundance Kid (1969),Little Big Man (1970),High Noon (1952),"Wild Bunch, The (1969)","Searchers, The (1956)"
1286,Schindler's List (1993),"Close Shave, A (1995)","Wrong Trousers, The (1993)","Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),Being John Malkovich (1999),"Silence of the Lambs, The (1991)","Boat, The (Das Boot) (1981)",Three Colors: Red (1994)
1287,"Bicycle Thief, The (Ladri di biciclette) (1948)","Godfather, The (1972)",American Beauty (1999),Citizen Kane (1941),Fargo (1996),Being John Malkovich (1999),To Kill a Mockingbird (1962),"Silence of the Lambs, The (1991)",It's a Wonderful Life (1946),"Wizard of Oz, The (1939)"
1288,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Lawrence of Arabia (1962),"Princess Bride, The (1987)",It's a Wonderful Life (1946)
1289,"Conversation, The (1974)","Maltese Falcon, The (1941)",North by Northwest (1959),"Sixth Sense, The (1999)",American Beauty (1999),Toy Story 2 (1999),Shakespeare in Love (1998),Elizabeth (1998),Coming Home (1978),Diner (1982)
1290,Schindler's List (1993),Rear Window (1954),"Shawshank Redemption, The (1994)",Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),"Silence of the Lambs, The (1991)",Fargo (1996),Young Frankenstein (1974),Being John Malkovich (1999),"Wizard of Oz, The (1939)"
1291,"Godfather, The (1972)",Casablanca (1942),American Beauty (1999),"Big Sleep, The (1946)",Best in Show (2000),High Fidelity (2000),Almost Famous (2000),Magnolia (1999),"Double Life of Veronique, The (La Double Vie de Véronique) (1991)",Boogie Nights (1997)
1292,Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),Being John Malkovich (1999),North by Northwest (1959),It's a Wonderful Life (1946),"Christmas Story, A (1983)",Monty Python and the Holy Grail (1974)
1293,City Lights (1931),American Beauty (1999),Yojimbo (1961),Being John Malkovich (1999),Some Like It Hot (1959),"Big Sleep, The (1946)",North by Northwest (1959),"Palm Beach Story, The (1942)",Monty Python and the Holy Grail (1974),Harold and Maude (1971)
1294,Double Indemnity (1944),Chinatown (1974),"Maltese Falcon, The (1941)",Touch of Evil (1958),American Beauty (1999),Blade Runner (1982),"Big Sleep, The (1946)","Manchurian Candidate, The (1962)",L.A. Confidential (1997),Shadow of a Doubt (1943)
1295,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Amadeus (1984),L.A. Confidential (1997),Toy Story (1995),Ferris Bueller's Day Off (1986),"Insider, The (1999)",Pulp Fiction (1994),Shakespeare in Love (1998)
1296,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)","Close Shave, A (1995)",Blade Runner (1982),"Wrong Trousers, The (1993)","Third Man, The (1949)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)"
1297,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",American History X (1998),"Silence of the Lambs, The (1991)",Cinema Paradiso (1988),Lawrence of Arabia (1962),It's a Wonderful Life (1946),Raiders of the Lost Ark (1981)
1298,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)","Close Shave, A (1995)","Wrong Trousers, The (1993)",Blade Runner (1982),American Beauty (1999),Fargo (1996),Being John Malkovich (1999),Young Frankenstein (1974)
1299,"Sixth Sense, The (1999)",Toy Story 2 (1999),Raiders of the Lost Ark (1981),Frequency (2000),"Shining, The (1980)",Go (1999),Fight Club (1999),Shakespeare in Love (1998),Gladiator (2000),Office Space (1999)
1300,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)",Glory (1989)
1301,"Sixth Sense, The (1999)","Matrix, The (1999)","Fugitive, The (1993)",Contact (1997),Seven (Se7en) (1995),"Lock, Stock & Two Smoking Barrels (1998)","Fifth Element, The (1997)","Game, The (1997)",Independence Day (ID4) (1996),Terminator 2: Judgment Day (1991)
1302,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),"Bicycle Thief, The (Ladri di biciclette) (1948)",Rear Window (1954),Lawrence of Arabia (1962),"Third Man, The (1949)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",Chinatown (1974)
1303,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Glory (1989),"Princess Bride, The (1987)","Fugitive, The (1993)","Sting, The (1973)",Die Hard (1988)
1304,Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Paris Is Burning (1990),"Thin Blue Line, The (1988)","War Room, The (1993)","Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",42 Up (1998),Roger & Me (1989),American Graffiti (1973),Crumb (1994)
1305,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),"Shawshank Redemption, The (1994)",Rear Window (1954),Cinema Paradiso (1988),Lawrence of Arabia (1962),"Christmas Story, A (1983)",Saving Private Ryan (1998),Blade Runner (1982),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
1306,Saving Private Ryan (1998),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),"Big Sleep, The (1946)",North by Northwest (1959),American Beauty (1999),Die Hard (1988),Alien (1979),Terminator 2: Judgment Day (1991),"African Queen, The (1951)"
1307,Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)","Princess Bride, The (1987)",Forrest Gump (1994),Star Wars: Episode V - The Empire Strikes Back (1980)
1308,"Princess Bride, The (1987)",Contact (1997),Forrest Gump (1994),Erin Brockovich (2000),Star Wars: Episode VI - Return of the Jedi (1983),"Whole Nine Yards, The (2000)",Road Trip (2000),"Mask of Zorro, The (1998)",U-571 (2000),Beyond the Mat (2000)
1309,"Killing Fields, The (1984)",Good Will Hunting (1997),Gandhi (1982),"Right Stuff, The (1983)","Last Emperor, The (1987)",Star Wars: Episode V - The Empire Strikes Back (1980),E.T. the Extra-Terrestrial (1982),Platoon (1986),My Left Foot (1989),This Is My Father (1998)
1310,Schindler's List (1993),Saving Private Ryan (1998),"Matrix, The (1999)",Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Star Wars: Episode IV - A New Hope (1977),Doctor Zhivago (1965),Patton (1970),Forrest Gump (1994),"Dirty Dozen, The (1967)"
1311,Perfect Blue (1997),"Matrix, The (1999)",Blade Runner (1982),Mulan (1998),"Fifth Element, The (1997)","Secret of NIMH, The (1982)",Contact (1997),Star Wars: Episode IV - A New Hope (1977),Lady and the Tramp (1955),"Little Mermaid, The (1989)"
1312,Saving Private Ryan (1998),"Matrix, The (1999)","Fugitive, The (1993)",Star Wars: Episode V - The Empire Strikes Back (1980),"Hunt for Red October, The (1990)",Remember the Titans (2000),Seven (Se7en) (1995),Spartacus (1960),Terminator 2: Judgment Day (1991),"Hurricane, The (1999)"
1313,Star Wars: Episode IV - A New Hope (1977),Glory (1989),"Princess Bride, The (1987)","Green Mile, The (1999)",Forrest Gump (1994),"Fugitive, The (1993)",Star Wars: Episode V - The Empire Strikes Back (1980),October Sky (1999),"Hunt for Red October, The (1990)",Roman Holiday (1953)
1314,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",Citizen Kane (1941),Casablanca (1942),Double Indemnity (1944),Rear Window (1954),"Third Man, The (1949)","Godfather, The (1972)",Lawrence of Arabia (1962),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
1315,"Maltese Falcon, The (1941)",L.A. Confidential (1997),Elizabeth (1998),Shakespeare in Love (1998),Tender Mercies (1983),"Bank Dick, The (1940)","Red Violin, The (Le Violon rouge) (1998)",Airplane! (1980),"Paris, Texas (1984)",Diner (1982)
1316,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Close Shave, A (1995)","Great Escape, The (1963)","Silence of the Lambs, The (1991)",Rear Window (1954),"Christmas Story, A (1983)",It's a Wonderful Life (1946)
1317,Star Wars: Episode IV - A New Hope (1977),Aliens (1986),Almost Famous (2000),High Fidelity (2000),Magnolia (1999),U-571 (2000),"Patriot, The (2000)",Fearless (1993),"Way of the Gun, The (2000)",Nurse Betty (2000)
1318,"Hunt for Red October, The (1990)",Frequency (2000),American Beauty (1999),Erin Brockovich (2000),L.A. Confidential (1997),Lethal Weapon (1987),Back to the Future (1985),"Good, The Bad and The Ugly, The (1966)",American Pie (1999),"Godfather: Part II, The (1974)"
1319,"Godfather, The (1972)",Rear Window (1954),"Silence of the Lambs, The (1991)",Saving Private Ryan (1998),"Usual Suspects, The (1995)",Chinatown (1974),Star Wars: Episode IV - A New Hope (1977),"Boat, The (Das Boot) (1981)","Christmas Story, A (1983)",North by Northwest (1959)
1320,Blade Runner (1982),"Godfather, The (1972)","Christmas Story, A (1983)",Fargo (1996),"Wizard of Oz, The (1939)","Killing Fields, The (1984)",Monty Python and the Holy Grail (1974),"Princess Bride, The (1987)",Henry V (1989),Raiders of the Lost Ark (1981)
1321,"Face in the Crowd, A (1957)","Shawshank Redemption, The (1994)",Roman Holiday (1953),"Thin Man, The (1934)",Doctor Zhivago (1965),"Quiet Man, The (1952)",It Happened One Night (1934),Rear Window (1954),Jules and Jim (Jules et Jim) (1961),"Friend of the Deceased, A (1997)"
1322,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Godfather, The (1972)",Rear Window (1954),"Streetcar Named Desire, A (1951)",Citizen Kane (1941),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),American Beauty (1999),Some Like It Hot (1959),"Boat, The (Das Boot) (1981)"
1323,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Rear Window (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Schindler's List (1993),Lawrence of Arabia (1962),"Shawshank Redemption, The (1994)",To Kill a Mockingbird (1962),"Maltese Falcon, The (1941)",Blade Runner (1982),North by Northwest (1959)
1324,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),"Godfather, The (1972)",City Lights (1931),Rear Window (1954),Schindler's List (1993),Double Indemnity (1944),"Close Shave, A (1995)","Third Man, The (1949)"
1325,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Apollo 13 (1995),"Fugitive, The (1993)",Good Will Hunting (1997),Forrest Gump (1994)
1326,Schindler's List (1993),Saving Private Ryan (1998),"Great Escape, The (1963)",Lawrence of Arabia (1962),Paths of Glory (1957),Casablanca (1942),"Princess Bride, The (1987)",Braveheart (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Patton (1970)
1327,Schindler's List (1993),Saving Private Ryan (1998),Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Fugitive, The (1993)",Die Hard (1988),Star Wars: Episode V - The Empire Strikes Back (1980),"Dirty Dozen, The (1967)"
1328,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)","Usual Suspects, The (1995)",Glory (1989)
1329,"Godfather, The (1972)",Casablanca (1942),Lawrence of Arabia (1962),Double Indemnity (1944),"Wrong Trousers, The (1993)","Third Man, The (1949)",Citizen Kane (1941),Chinatown (1974),"Silence of the Lambs, The (1991)","Maltese Falcon, The (1941)"
1330,Schindler's List (1993),"Streetcar Named Desire, A (1951)",Paths of Glory (1957),Casablanca (1942),Rear Window (1954),"Godfather, The (1972)","Shawshank Redemption, The (1994)",Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999)
1331,"Christmas Story, A (1983)",One Flew Over the Cuckoo's Nest (1975),"Princess Bride, The (1987)",North by Northwest (1959),Monty Python and the Holy Grail (1974),Toy Story 2 (1999),M*A*S*H (1970),Toy Story (1995),Harold and Maude (1971),Stand by Me (1986)
1332,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),Casablanca (1942),Rear Window (1954),Double Indemnity (1944),Lawrence of Arabia (1962),"Third Man, The (1949)",Chinatown (1974)
1333,Lawrence of Arabia (1962),"Godfather, The (1972)","Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),Being John Malkovich (1999),Young Frankenstein (1974),"Producers, The (1968)",Star Wars: Episode IV - A New Hope (1977),Pulp Fiction (1994)
1334,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Casablanca (1942),Chinatown (1974),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Close Shave, A (1995)","Wrong Trousers, The (1993)",One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999)
1335,Schindler's List (1993),"Wrong Trousers, The (1993)","Silence of the Lambs, The (1991)",Saving Private Ryan (1998),Fargo (1996),"Boat, The (Das Boot) (1981)",L.A. Confidential (1997),Wallace & Gromit: The Best of Aardman Animation (1996),Toy Story 2 (1999),Shakespeare in Love (1998)
1336,"Wizard of Oz, The (1939)",Winnie the Pooh and the Blustery Day (1968),Raiders of the Lost Ark (1981),Remember the Titans (2000),Cinderella (1950),Toy Story 2 (1999),"Secret of NIMH, The (1982)",Robin Hood (1973),Beauty and the Beast (1991),Mary Poppins (1964)
1337,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)",Glory (1989),"Matrix, The (1999)","Bridge on the River Kwai, The (1957)",Braveheart (1995)
1338,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),Braveheart (1995),"Great Escape, The (1963)","Matrix, The (1999)",Lawrence of Arabia (1962),"Princess Bride, The (1987)","Usual Suspects, The (1995)","Bridge on the River Kwai, The (1957)",One Flew Over the Cuckoo's Nest (1975)
1339,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",American History X (1998),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Great Escape, The (1963)"
1340,Rain Man (1988),Enemy of the State (1998),Scream (1996),"Devil's Advocate, The (1997)",Interview with the Vampire (1994),Mission: Impossible 2 (2000),"Godfather: Part III, The (1990)",Sleepy Hollow (1999),Blade (1998),Bram Stoker's Dracula (1992)
1341,Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),"Boat, The (Das Boot) (1981)",Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)",GoodFellas (1990),"Hunt for Red October, The (1990)",Terminator 2: Judgment Day (1991),In the Line of Fire (1993)
1342,Repulsion (1965),"Shawshank Redemption, The (1994)",Rear Window (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),Casablanca (1942),"39 Steps, The (1935)","Streetcar Named Desire, A (1951)","Christmas Story, A (1983)","Wizard of Oz, The (1939)"
1343,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)","Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),American Beauty (1999),"Christmas Story, A (1983)","Princess Bride, The (1987)",Cool Hand Luke (1967),Glory (1989)
1344,"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Forrest Gump (1994),Blade Runner (1982),Toy Story 2 (1999),Toy Story (1995),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),Aliens (1986),Shakespeare in Love (1998)
1345,Blade Runner (1982),Star Wars: Episode IV - A New Hope (1977),Gladiator (2000),Body Heat (1981),"Birds, The (1963)","Contender, The (2000)",X-Men (2000),Psycho (1960),Lethal Weapon (1987),Rosemary's Baby (1968)
1346,Schindler's List (1993),"Close Shave, A (1995)","Wrong Trousers, The (1993)",American Beauty (1999),"Silence of the Lambs, The (1991)","Grand Day Out, A (1992)",Being John Malkovich (1999),Saving Private Ryan (1998),L.A. Confidential (1997),Wallace & Gromit: The Best of Aardman Animation (1996)
1347,Rear Window (1954),"Wizard of Oz, The (1939)","Wrong Trousers, The (1993)",My Fair Lady (1964),Casablanca (1942),"Princess Bride, The (1987)",Glory (1989),Arsenic and Old Lace (1944),"Matrix, The (1999)",North by Northwest (1959)
1348,Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Fugitive, The (1993)","Princess Bride, The (1987)",Die Hard (1988),"Hunt for Red October, The (1990)",Star Wars: Episode V - The Empire Strikes Back (1980)
1349,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Godfather, The (1972)",Rear Window (1954),American History X (1998),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),American Beauty (1999),"Princess Bride, The (1987)"
1350,"Sixth Sense, The (1999)","Matrix, The (1999)","Christmas Story, A (1983)","Princess Bride, The (1987)","Usual Suspects, The (1995)",Die Hard (1988),Seven (Se7en) (1995),Cool Hand Luke (1967),Star Wars: Episode V - The Empire Strikes Back (1980),Rain Man (1988)
1351,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Chinatown (1974),"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Close Shave, A (1995)","Wrong Trousers, The (1993)",Fargo (1996),Schindler's List (1993),American Beauty (1999)
1352,"Close Shave, A (1995)","Wrong Trousers, The (1993)","Grand Day Out, A (1992)",Creature Comforts (1990),Cool Hand Luke (1967),This Is Spinal Tap (1984),"Christmas Story, A (1983)","Producers, The (1968)","Princess Mononoke, The (Mononoke Hime) (1997)","Princess Bride, The (1987)"
1353,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Rear Window (1954),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Central Station (Central do Brasil) (1998),Braveheart (1995)
1354,Schindler's List (1993),Casablanca (1942),American Beauty (1999),"Wizard of Oz, The (1939)",Singin' in the Rain (1952),North by Northwest (1959),"Philadelphia Story, The (1940)",West Side Story (1961),"African Queen, The (1951)",Notorious (1946)
1355,"Godfather, The (1972)",Chinatown (1974),Schindler's List (1993),American Beauty (1999),Fargo (1996),Blade Runner (1982),"Usual Suspects, The (1995)","Silence of the Lambs, The (1991)",Fight Club (1999),Being John Malkovich (1999)
1356,Casablanca (1942),Young Frankenstein (1974),Alien (1979),"Shining, The (1980)",Rain Man (1988),Dead Man Walking (1995),"Exorcist, The (1973)",Psycho (1960),Army of Darkness (1993),Dracula (1931)
1357,Saving Private Ryan (1998),Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Close Shave, A (1995)","Matrix, The (1999)","Princess Bride, The (1987)","Fugitive, The (1993)",Blade Runner (1982),"Dirty Dozen, The (1967)"
1358,"Sixth Sense, The (1999)","Close Shave, A (1995)","Wrong Trousers, The (1993)",Winnie the Pooh and the Blustery Day (1968),"Grand Day Out, A (1992)",Toy Story 2 (1999),"Man Who Would Be King, The (1975)","Secret of NIMH, The (1982)",Mulan (1998),"Little Mermaid, The (1989)"
1359,Saving Private Ryan (1998),Casablanca (1942),Star Wars: Episode IV - A New Hope (1977),"Bridge on the River Kwai, The (1957)",Citizen Kane (1941),"Sixth Sense, The (1999)","Matrix, The (1999)","Wizard of Oz, The (1939)",Amadeus (1984),Life Is Beautiful (La Vita è bella) (1997)
1360,Lawrence of Arabia (1962),Schindler's List (1993),Blade Runner (1982),Rear Window (1954),Some Like It Hot (1959),"Wizard of Oz, The (1939)",To Kill a Mockingbird (1962),Being John Malkovich (1999),"Postino, Il (The Postman) (1994)",American Beauty (1999)
1361,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Lawrence of Arabia (1962),Schindler's List (1993),Casablanca (1942),Rear Window (1954),For All Mankind (1989),Blade Runner (1982),"Third Man, The (1949)",Fargo (1996),Citizen Kane (1941)
1362,M (1931),Being John Malkovich (1999),Election (1999),Hoop Dreams (1994),Roger & Me (1989),High Fidelity (2000),Magnolia (1999),Raiders of the Lost Ark (1981),"Player, The (1992)",Shakespeare in Love (1998)
1363,American Beauty (1999),"Christmas Story, A (1983)",Being John Malkovich (1999),Some Like It Hot (1959),Young Frankenstein (1974),Paradise Lost: The Child Murders at Robin Hood Hills (1996),"Silence of the Lambs, The (1991)","Thin Blue Line, The (1988)",Monty Python and the Holy Grail (1974),When We Were Kings (1996)
